,GDG,NEI,COM,FLO
F348,0.340138968,0.477781744,0.367447173,0.494093851
F349,0.792825457,0.754476269,0.794443177,0.5
F350,0.193042536,0.850326913,0.188254592,0.5
F351,0.907024325,0.946448818,0.88666328,0.545372088
F352,0.851975062,0.90052589,0.739525033,0.439748715
F353,0.852306572,0.967869592,0.180185099,0.581573896
F354,0.907468694,0.996634615,0.619245677,0.722040847
F355,0.92616064,0.974582846,0.192692361,0.586462447
F356,0.784259167,0.802151998,0.485369947,0.449806497
F357,0.253433443,0.533537612,0.599271851,0.380972895
F358,0.985613799,0.99424552,0.293727616,0.417624521
F359,0.523330794,0.811257136,0.325626332,0.532885875
F360,0.835576923,0.613461538,0.601923077,0.624038462
F361,0.902631187,0.569077967,0.720930233,0.32297257
F362,0.608516875,0.709313128,0.629058989,0.520643727
F363,0.58715099,0.74452434,0.65350495,0.464005363
F364,0.737378641,0.889320388,0.580097087,0.382281553
F365,0.800567726,0.967878785,0.148515234,0.643474088
F366,0.90304303,0.633285441,0.782747569,0.802991453
F367,0.769929255,0.937231121,0.239632743,0.732654746
F368,0.723250964,0.845553627,0.836768819,0.526613102
F369,0.51397585,0.76601446,0.487954681,0.492523852
F370,0.532729577,0.837693798,0.722704234,0.525760286
F371,0.792709111,0.778001307,0.662065907,0.53746966
F372,0.503846154,0.873076923,0.651923077,0.462980769
F373,0.826370645,0.859663526,0.486379212,0.404161907
F374,0.816837997,0.858088235,0.728926328,0.51769703
F375,0.937555261,0.945264147,0.802891983,0.269227085
F376,0.990421456,0.915182084,0.364394658,0.865839713
F377,0.885766891,0.772396403,0.46850398,0.524397683
F378,0.795585036,0.749839898,0.368646969,0.715491018
F379,0.957795574,0.929520484,0.407658055,0.72767519
F380,0.748102711,0.620809387,0.441010905,0.848296124
F381,0.948218869,0.924225627,0.247389341,0.690092734
F382,0.949156426,0.945785993,0.844490819,0.639953018
F383,0.911637241,0.760895249,0.379081233,0.48610421
F384,0.801923077,0.805288462,0.620192308,0.629807692
F385,0.848488024,0.963087674,0.133279649,0.540524963
F386,0.907051353,0.956383612,0.232102279,0.486561542
F387,0.432964928,0.612652888,0.4891173,0.670359932
F388,0.793269231,0.853365385,0.605769231,0.483653846
F389,0.409778539,0.780984675,0.479895615,0.435947712
F390,0.769230769,0.989903846,0.394230769,0.516826923
F391,0.939311895,0.952832591,0.906578743,0.60411822
F392,0.779502087,0.976375224,0.35476297,0.347044574
F393,0.953026526,0.97460307,0.247356248,0.673396467
F394,0.956856105,0.983711879,0.451645818,0.181707371
F395,0.948124816,0.99231506,0.724042146,0.396695402
F396,0.986562434,0.977950026,0.787704131,0.327874667
F397,0.794616141,0.976023276,0.689740744,0.667268431
F398,0.489220454,0.725005526,0.442768199,0.41316313
F399,0.518269231,0.6875,0.600961538,0.606730769
F400,0.95290672,0.990874595,0.705835544,0.481673666
F401,0.82169384,0.968841235,0.14868989,0.540796141
F402,0.913704856,0.977954641,0.18019613,0.568448901
F403,0.948132322,0.819897148,0.552969073,0.330908333
F404,0.745150299,0.83778006,0.687929425,0.35340506
F405,0.574203264,0.766903639,0.53744491,0.68600093
F406,0.907707044,0.844718907,0.193151341,0.350397878
F407,0.827464866,0.957843375,0.220429692,0.621081254
F408,0.765985689,0.990887514,0.121704503,0.345047286
F409,0.975082916,0.994251035,0.550481317,0.150635015
F410,0.763048351,0.737373988,0.448466329,0.623672254
F411,0.883092123,0.968846751,0.191802531,0.631704981
F412,0.979875865,0.990409506,0.476454431,0.375166384
F413,0.888747325,0.995209809,0.262014546,0.413657974
F414,0.907977953,0.981314485,0.307811385,0.079583729
F415,0.327413056,0.623135868,0.535400088,0.72020336
F416,0.801057324,0.994715223,0.704892426,0.641449307
F417,0.836444976,0.945086705,0.620894514,0.660977676
F418,0.932810197,0.990391983,0.583786472,0.67553603
F419,0.903966125,0.805984796,0.49344684,0.609994534
F420,0.976985755,0.957351579,0.216644237,0.683817041
F421,1,0.985138549,0.488055317,0.38915547
F422,0.832283554,0.940603834,0.327047529,0.391904016
F423,0.973165369,0.976512344,0.40371449,0.669703856
F424,0.86094197,0.970734882,0.408406321,0.599827366
F425,0.945283602,0.994720759,0.864611282,0.391260062
F426,0.956846865,0.993282597,0.91070423,0.556095211
F427,0.866711158,0.953969672,0.242625808,0.643463057
F428,0.960650679,0.912675147,0.708966842,0.894938278
F429,0.819417476,0.816504854,0.472330097,0.301941748
F430,0.807844059,0.932542904,0.936118812,0.299102723
F431,0.969293504,0.920432818,0.326972151,0.805290813
F432,0.877302711,0.99233073,0.081467264,0.513625065
F433,0.969317405,0.984179775,0.529246733,0.45099683
F434,0.960711407,0.992326123,0.482294876,0.306836375
F435,0.93671812,0.979382667,0.366510429,0.517553303
F436,0.905992381,0.975550812,0.108386466,0.894059648
F437,0.86769659,0.983223759,0.199505813,0.457919673
F438,0.504837073,0.960672815,0.541628978,0.683621241
F439,0.946319706,0.983221001,0.151399828,0.405578721
F440,0.786860926,0.896769972,0.822465083,0.59238553
F441,0.96250526,0.998554913,0.519273359,0.383988882
F442,0.649183007,0.699019608,0.659150327,0.489542484
F443,0.484242216,0.546926021,0.438745034,0.497564007
F444,0.261136899,0.712529472,0.690635131,0.300604185
F445,0.955787651,0.861070587,0.382526525,0.182885721
F446,0.878106816,0.814143121,0.614150298,0.203527499
F447,0.890384615,0.891346154,0.688461538,0.34375
F448,0.609075766,0.529656863,0.551384923,0.3762826
F449,0.413064361,0.765692802,0.512297526,0.672206764
F450,0.086387415,0.71155504,0.581774978,0.286263999
F451,0.526455552,0.800247331,0.82240772,0.831845485
F452,0.575816993,0.558905229,0.512418301,0.369362745
F453,0.385576923,0.565384615,0.397115385,0.612019231
F454,0.419938108,0.677486737,0.403374595,0.651061008
F455,0.283653846,0.606730769,0.542307692,0.536538462
F456,0.3281731,0.713919895,0.444593936,0.472629172
F457,0.638822559,0.581976801,0.553094868,0.502941176
F458,0.570565721,0.631684093,0.485735624,0.587532674
F459,0.508788014,0.626740459,0.557491055,0.634101073
F460,0.585091083,0.576211334,0.633473274,0.536646606
F461,0.778057319,0.614584111,0.741728902,0.59995099
F462,0.457197535,0.534452016,0.495939134,0.539318055
F463,0.30654663,0.585340398,0.344966004,0.386087303
F464,0.762194718,0.979867592,0.15631044,0.284731874
F465,0.501941748,0.455825243,0.606796117,0.465291262
F466,0.531242712,0.567757788,0.449941696,0.5590663
F467,0.418669514,0.589499612,0.446228888,0.521003203
F468,0.673389656,0.679905713,0.504966393,0.576960418
F469,0.360576923,0.614903846,0.627884615,0.772115385
F470,0.207942994,0.551117866,0.833521582,0.524796248
F471,0.934770299,0.979851965,0.344980181,0.252046242
F472,0.638471551,0.981290585,0.322376839,0.538867562
F473,0.727631066,0.980339165,0.33258139,0.319322185
F474,0.817307692,0.864423077,0.598076923,0.415865385
F475,0.755882353,0.912173203,0.677124183,0.419689542
F476,0.637886868,0.779131748,0.491544934,0.703450208
F477,0.374716328,0.845234674,0.76355364,0.372933245
F478,0.143062595,0.756088034,0.502630649,0.673829872
F479,0.316033009,0.71397178,0.520063366,0.470463086
F480,0.741210792,0.724855302,0.416943615,0.39336025
F481,0.625413022,0.677040816,0.627648202,0.603389213
F482,0.636881997,0.614441371,0.51881997,0.521807254
F483,0.680853249,0.766794249,0.613265497,0.378038648
F484,0.933457804,0.833299104,0.863685586,0.267046303
F485,0.975987391,0.819893007,0.187231552,0.493457882
F486,0.973993976,0.906077669,0.486650942,0.393213076
F487,0.85264699,0.678156824,0.312754269,0.274011428
F488,0.865795589,0.96261702,0.266535398,0.735193704
F489,0.547115385,0.603846154,0.536538462,0.334134615
F490,0.907946698,0.978904222,0.087284253,0.569950949
F491,0.761198363,0.665688654,0.748005901,0.566495336
F492,0.3,0.737980769,0.583653846,0.630288462
F493,0.341139847,0.701013115,0.701340996,0.718755526
F494,0.803612163,0.828621576,0.724497819,0.486637101
F495,0.764117781,0.942958024,0.321052206,0.67180801
F496,0.884983932,0.980336407,0.129488679,0.641642031
F497,0.268206602,0.660195623,0.74146036,0.551086796
F498,0.312492632,0.696700928,0.379652962,0.541826923
F499,0.75534451,0.664209272,0.523749061,0.273962841
F500,0.849438524,0.981302535,0.178376023,0.750364021
F501,0.590459298,0.686977222,0.562103249,0.495897125
F502,0.996168582,0.986099161,0.486100999,0.104510924
F503,0.752332001,0.61986246,0.423153436,0.550851894
F504,0.536151636,0.621264368,0.377390952,0.60783967
F505,0.610436893,0.578321911,0.521283076,0.479395108
F506,0.987545132,0.995199686,0.939575121,0.452674539
F507,0.493605076,0.593493234,0.211874073,0.384808318
F508,0.41384003,0.811248854,0.68572162,0.404784579
F509,0.513461538,0.660576923,0.35,0.414423077
F510,0.99041594,0.988974563,0.162042859,0.682543885
F511,0.994251035,0.984663299,0.56770615,0.366838933
F512,0.3246878,0.797830612,0.530529884,0.579162388
F513,0.692307692,0.887019231,0.475961538,0.592788462
F514,0.45,0.839903846,0.365384615,0.605769231
F515,0.386631815,0.595192308,0.62182599,0.446648618
F516,0.531890248,0.624949039,0.474351259,0.456001262
F517,0.875380735,0.839634495,0.710075195,0.42896916
F518,0.952068671,0.987053338,0.580418404,0.156186342
F519,0.988491039,0.988012112,0.611677367,0.17257558
